archivo,clase,url_origen,pagina_origen,licencia,autor,atribucion
cc_mano_en_menton_011.jpg,mano_en_menton,https://live.staticflickr.com/65535/54318115630_419c66c774_b.jpg,https://www.flickr.com/photos/58367355@N00/54318115630,by,jules:stonesoup,"""JC Hand on Chin Square"" by jules:stonesoup is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_012.jpg,mano_en_menton,https://live.staticflickr.com/65535/53771629155_6a9fc48e60_b.jpg,https://www.flickr.com/photos/37996580417@N01/53771629155,by-sa,gruntzooki,"""David Byrne hand on chin, Q and A, An Evening of Stop Making Sense, Pantages Theater, Hollywood, Los Angeles, California, USA"" by gruntzooki is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_013.jpg,mano_en_menton,https://live.staticflickr.com/65535/52431361429_d0039a917a_b.jpg,https://www.flickr.com/photos/39423133@N04/52431361429,by-sa,Debarshi Ray,"This work by Debarshi Ray is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_014.jpg,mano_en_menton,https://live.staticflickr.com/6038/6311617365_c19ba4e5e3.jpg,https://www.flickr.com/photos/58820009@N05/6311617365,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_015.jpg,mano_en_menton,https://live.staticflickr.com/6114/6314078437_4a5d31798d.jpg,https://www.flickr.com/photos/58820009@N05/6314078437,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_016.jpg,mano_en_menton,https://live.staticflickr.com/65535/51827008717_51e1c345a1_b.jpg,https://www.flickr.com/photos/39423133@N04/51827008717,by-sa,Debarshi Ray,"This work by Debarshi Ray is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_017.jpg,mano_en_menton,https://live.staticflickr.com/6119/6314078319_41d86448be.jpg,https://www.flickr.com/photos/58820009@N05/6314078319,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_018.jpg,mano_en_menton,https://live.staticflickr.com/142/330716654_f2de7f1535.jpg,https://www.flickr.com/photos/23958111@N00/330716654,by,hosiery_advocate,"""DSC00028"" by hosiery_advocate is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_019.jpg,mano_en_menton,https://live.staticflickr.com/41/104324986_bd840b4641_b.jpg,https://www.flickr.com/photos/15923063@N00/104324986,by,CarbonNYC [in SF!],"""In the Wake of 'Here I Am Taking My Own Picture'"" by CarbonNYC [in SF!] is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_020.jpg,mano_en_menton,https://live.staticflickr.com/65535/52330045429_10a18499f3_b.jpg,https://www.flickr.com/photos/39423133@N04/52330045429,by-sa,Debarshi Ray,"This work by Debarshi Ray is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_021.jpg,mano_en_menton,https://live.staticflickr.com/65535/50879611402_8b7f7fac4e_b.jpg,https://www.flickr.com/photos/39423133@N04/50879611402,by-sa,Debarshi Ray,"This work by Debarshi Ray is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_022.jpg,mano_en_menton,https://live.staticflickr.com/6239/6314076187_d30ca4134e.jpg,https://www.flickr.com/photos/58820009@N05/6314076187,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_023.jpg,mano_en_menton,https://live.staticflickr.com/65535/50879443641_c94b03367b_b.jpg,https://www.flickr.com/photos/39423133@N04/50879443641,by-sa,Debarshi Ray,"This work by Debarshi Ray is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_024.jpg,mano_en_menton,https://live.staticflickr.com/6110/6309112712_06cb1a37e3.jpg,https://www.flickr.com/photos/58820009@N05/6309112712,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_025.jpg,mano_en_menton,https://live.staticflickr.com/6043/6314078663_bf0f599404.jpg,https://www.flickr.com/photos/58820009@N05/6314078663,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_026.jpg,mano_en_menton,https://live.staticflickr.com/6098/6311609361_d025516d50.jpg,https://www.flickr.com/photos/58820009@N05/6311609361,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_027.jpg,mano_en_menton,https://live.staticflickr.com/6096/6310886869_eb2fd91caa.jpg,https://www.flickr.com/photos/58820009@N05/6310886869,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_028.jpg,mano_en_menton,https://live.staticflickr.com/6053/6311406632_2a23916433.jpg,https://www.flickr.com/photos/58820009@N05/6311406632,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_029.jpg,mano_en_menton,https://live.staticflickr.com/6220/6314597124_cde1ff610c.jpg,https://www.flickr.com/photos/58820009@N05/6314597124,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_030.jpg,mano_en_menton,https://live.staticflickr.com/6048/6314595342_d84e84d8a8.jpg,https://www.flickr.com/photos/58820009@N05/6314595342,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_031.jpg,mano_en_menton,https://live.staticflickr.com/6058/6314078217_654e0d2376_b.jpg,https://www.flickr.com/photos/58820009@N05/6314078217,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_032.jpg,mano_en_menton,https://live.staticflickr.com/7464/15557042034_9b44ee3b15_b.jpg,https://www.flickr.com/photos/127294011@N07/15557042034,by,PersonalCreations.com,"""Contemplating boy in with his hand on his chin while thinking"" by PersonalCreations.com is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_033.jpg,mano_en_menton,https://live.staticflickr.com/6047/6314595212_3eaf39f789.jpg,https://www.flickr.com/photos/58820009@N05/6314595212,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_034.jpg,mano_en_menton,https://live.staticflickr.com/6104/6308594099_b358ef2bcb.jpg,https://www.flickr.com/photos/58820009@N05/6308594099,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_035.jpg,mano_en_menton,https://live.staticflickr.com/6034/6314595090_c767166023.jpg,https://www.flickr.com/photos/58820009@N05/6314595090,by-sa,Eva Rinaldi Celebrity Photographer,"""The Great Gatsby"" by Eva Rinaldi Celebrity Photographer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_036.jpg,mano_en_menton,https://live.staticflickr.com/3542/3773853371_dd6120449a_b.jpg,https://www.flickr.com/photos/41000732@N04/3773853371,by-sa,"Adam Jones, Ph.D. - Global Photo Archive","""A Pensive Server Waits for Customers in Siem Reap - Cambodia"" by Adam Jones, Ph.D. - Global Photo Archive is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_037.jpg,mano_en_menton,https://live.staticflickr.com/4178/33482353834_5b76751b93_b.jpg,https://www.flickr.com/photos/30760976@N04/33482353834,by-sa,anokarina,"""“I’ve been trying to imagine the level of hubris necessary to believe that White men are some sort of minimized American runt in dire and specific need of advocates, cheerleaders, post-dawn fellatio, and post-fellatio snickerdoodles.” ―Damon Young"" by anokarina is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_038.jpg,mano_en_menton,https://live.staticflickr.com/50/136250058_6196e66106.jpg,https://www.flickr.com/photos/35034345586@N01/136250058,by,justin,"""Merci strokes her goatee"" by justin is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_mano_en_menton_039.jpg,mano_en_menton,https://live.staticflickr.com/3088/2626373862_cf327bfde3_b.jpg,https://www.flickr.com/photos/75994593@N00/2626373862,by-sa,tz1_1zt,"""fts2008 - Vladislav Delay with Catherine Ring and Scott Wilson"" by tz1_1zt is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_mano_en_menton_040.jpg,mano_en_menton,https://live.staticflickr.com/3100/2742924565_0e50229b4b.jpg,https://www.flickr.com/photos/21309047@N00/2742924565,by,Annie Mole,"""Chin Stroking Community Manager Rob Hinchcliffe"" by Annie Mole is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_001.jpg,manos_juntas,https://upload.wikimedia.org/wikipedia/commons/d/da/2017_sukhasan_ritual_palki_palanquin_for_Guru_Granth_Sahib_every_night%2C_Golden_temple_Amritsar.jpg,https://commons.wikimedia.org/w/index.php?curid=63395641,by-sa,Ms Sarah Welch,"""2017 sukhasan ritual palki palanquin for Guru Granth Sahib every night, Golden temple Amritsar"" by Ms Sarah Welch is licensed under CC BY-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0/."
cc_manos_juntas_002.jpg,manos_juntas,https://live.staticflickr.com/65535/52354912340_04807b6f2c_b.jpg,https://www.flickr.com/photos/195273280@N04/52354912340,by,advokatsmart.no,"""Owning Your Own Home & Buying Your First Property"" by advokatsmart.no is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_003.jpg,manos_juntas,https://live.staticflickr.com/65535/54552538759_283ce3b298_b.jpg,https://www.flickr.com/photos/202780880@N02/54552538759,by,nenad53,"""A woman sits quietly indoors with her hands clasped together"" by nenad53 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_004.jpg,manos_juntas,https://upload.wikimedia.org/wikipedia/commons/6/6c/Person_wearing_blue_gloves_preparing_for_a_task_in_a_kitchen_setting.jpg,https://commons.wikimedia.org/w/index.php?curid=191849479,by,Shixart1985,"""Person wearing blue gloves preparing for a task in a kitchen setting"" by Shixart1985 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_005.jpg,manos_juntas,https://live.staticflickr.com/3068/3042625930_25bbc4ddbf_b.jpg,https://www.flickr.com/photos/71401718@N00/3042625930,by,Wonderlane,"""Elder Tibetan woman praying wearing face mask to protect against the dust, and symbolic red blindfold, during Lam dre, Tharlam Monastery, Boudha, Kathmandu, Nepal"" by Wonderlane is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_006.jpg,manos_juntas,https://live.staticflickr.com/5453/9108764215_5350a1282f_b.jpg,https://www.flickr.com/photos/78428166@N00/9108764215,by,Tobyotter,"""Praying Hands"" by Tobyotter is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_007.jpg,manos_juntas,https://live.staticflickr.com/6142/5976439131_3b14aa16d5_b.jpg,https://www.flickr.com/photos/71401718@N00/5976439131,by,Wonderlane,"""Cardinal HE Donald Wuerl, the Archbishop of Washington D.C. welcomes His Holiness the 14th Dalai Lama, speaking about the ecumenical spirit, holding hands, after giving the Cardinal a khata, Kalachakra for World Peace, Verizon Center, Washington D.C. USA"" by Wonderlane is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_008.jpg,manos_juntas,https://live.staticflickr.com/38/86747610_b7c05f1b95_b.jpg,https://www.flickr.com/photos/69275268@N00/86747610,by,Xuan Che,"""mesopotamia, iraq - sumerian figure"" by Xuan Che is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_009.jpg,manos_juntas,https://live.staticflickr.com/136/407562757_09de1ebace_m.jpg,https://www.flickr.com/photos/86518301@N00/407562757,by,The Wandering Angel,"""Conquer"" by The Wandering Angel is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_010.jpg,manos_juntas,https://live.staticflickr.com/2770/4261851743_3218842629.jpg,https://www.flickr.com/photos/11398652@N00/4261851743,by,ramesh_lalwani,"""Monk and Trimurti"" by ramesh_lalwani is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_manos_juntas_011.jpg,manos_juntas,https://live.staticflickr.com/5016/5500120978_02d19c3ef5_b.jpg,https://www.flickr.com/photos/37804160@N00/5500120978,by-sa,SqueakyMarmot,"""praying hands"" by SqueakyMarmot is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_manos_juntas_012.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAyL2xyL2dldHR5MTA0ZzJhLWltYWdlLmpwZw.jpg,https://www.rawpixel.com/image/14248177/pray-god-bring-father-safely-home-julia-margaret-cameron,cc0,thegetty,"""Pray God bring Father safely"" by thegetty is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_013.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAyL2xyL2dldHR5MTA0azhrLWltYWdlLmpwZw.jpg,https://www.rawpixel.com/image/14249349/painting-woman-praying,cc0,thegetty,"""Painting of woman praying"" by thegetty is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_014.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAyL2xyL2dldHR5MTA3ZzF5LWltYWdlLmpwZw.jpg,https://www.rawpixel.com/image/14256677/little-girl-praying-lorenzo-suscipi,cc0,thegetty,"""Little girl praying Lorenzo Suscipi"" by thegetty is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_015.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAyL2xyL3djdjNtZHU2a3YtaW1hZ2UuanBn.jpg,https://www.rawpixel.com/image/14011886/photo-image-face-hands-person,cc0,,"""woman, seated, wearing black dress"" is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_016.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAyL2xyL2dldHR5MTA0Y2hkLWltYWdlLmpwZw.jpg,https://www.rawpixel.com/image/14250638/man-praying-over-meal-rudolf-eickemeyer,cc0,thegetty,"""Man praying meal Rudolf Eickemeyer"" by thegetty is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_017.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAxL2xyL3JpamtzcnAtcC1vYi0yOF9fMzA3LWltYWdlLmpwZw.jpg,https://www.rawpixel.com/image/13778041/image-paper-face-hand,cc0,rijksmuseum,"""Biddende monnik (1833 - 1863)"" by rijksmuseum is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_018.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9zdGF0aWMvaW1hZ2Uvd2Vic2l0ZS8yMDIyLTA0L2xyL2ZyZ2lybF9sYWR5X2hhbmRfcm9zYXJ5LWltYWdlLWt5YmJlZDAzLmpwZw.jpg,https://www.rawpixel.com/image/6023553/photo-image-public-domain-hand-person,cc0,,"""Praying hands, close up"" is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_019.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTEyL2FpYzEyNzYwMi1pbWFnZS5qcGc.jpg,https://www.rawpixel.com/image/8951551/parody-komachi-praying-for-rain-ishikawa-toyonobu,cc0,artinstitutechicago,"""Parody Komachi praying rain Ishikawa"" by artinstitutechicago is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_020.jpg,manos_juntas,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTAzL2NsZTE5NjUtLTI0MC1pbWFnZS5qcGc.jpg,https://www.rawpixel.com/image/9687713/jonah-praying,cc0,clevelandart,"""Jonah Praying"" by clevelandart is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_manos_juntas_021.jpg,manos_juntas,https://live.staticflickr.com/4016/4625628903_9f2163285e.jpg,https://www.flickr.com/photos/43109416@N00/4625628903,by,nevil zaveri (thank you for 20+M views:),"""namaste, talaja"" by nevil zaveri (thank you for 20+M views:) is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_001.jpg,senalamiento,https://live.staticflickr.com/1257/5120831489_834d84ca95_b.jpg,https://www.flickr.com/photos/27073477@N00/5120831489,by-sa,TheeErin,"""A scenario for leaving"" by TheeErin is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
cc_senalamiento_002.jpg,senalamiento,https://live.staticflickr.com/8897/17551436326_6b1ffc2d4c_b.jpg,https://www.flickr.com/photos/44093058@N06/17551436326,by,blondinrikard,"""Yes, you."" by blondinrikard is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_003.jpg,senalamiento,https://live.staticflickr.com/5453/9108764215_5350a1282f_b.jpg,https://www.flickr.com/photos/78428166@N00/9108764215,by,Tobyotter,"""Praying Hands"" by Tobyotter is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_004.jpg,senalamiento,https://live.staticflickr.com/8545/8680763519_577ec569c1_b.jpg,https://www.flickr.com/photos/34756977@N00/8680763519,by,Rochelle Hartman,"""Just listen here buddy..."" by Rochelle Hartman is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_005.jpg,senalamiento,https://live.staticflickr.com/2283/2311759150_634a3b080f_b.jpg,https://www.flickr.com/photos/12376942@N08/2311759150,by,Scrap Pile,"""pointing"" by Scrap Pile is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_006.jpg,senalamiento,https://live.staticflickr.com/3210/2808805610_cf201cff7a_b.jpg,https://www.flickr.com/photos/76204898@N00/2808805610,by,trialsanderrors,"""'Harvard' Eddie Grant, Cincinnati Reds third baseman, by Paul Thompson, 1911"" by trialsanderrors is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_007.jpg,senalamiento,https://live.staticflickr.com/5755/31153714025_eac66299a3_b.jpg,https://www.flickr.com/photos/57221465@N04/31153714025,by,namminliz,"""Buy 2 get 1 Free imvu"" by namminliz is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_008.jpg,senalamiento,https://live.staticflickr.com/65535/51974969566_facec1a27a_b.jpg,https://www.flickr.com/photos/57794015@N05/51974969566,cc0,skeyndor.oficial,"""Horizontal shot of happy young Asian woman points away on copy space, demonstrates something good, wears white t shirt, helps pick best choice, recommends product, models over pink background"" by skeyndor.oficial is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/."
cc_senalamiento_009.jpg,senalamiento,https://live.staticflickr.com/4054/5141002313_d413098183_b.jpg,https://www.flickr.com/photos/32345848@N07/5141002313,by,Patrick Feller,"""Texas Governor Rick Perry's Campaign Stop at Skeeter's Mesquite Grill, Kingwood, Texas 103110161601BW"" by Patrick Feller is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_010.jpg,senalamiento,https://live.staticflickr.com/3406/3234296953_2a09e7a049_b.jpg,https://www.flickr.com/photos/32365888@N05/3234296953,by,Caza_No_7,"""A bit of 10mm fun"" by Caza_No_7 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/."
cc_senalamiento_011.jpg,senalamiento,https://live.staticflickr.com/42/103484150_4f7f01aecc.jpg,https://www.flickr.com/photos/38168573@N00/103484150,by-sa,Owen Prior,"""The Magic Spot, Teotihuacan"" by Owen Prior is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/."
